user_id,nickname,role,status,miss_count,last_pack_id,completed_at,active_public_fur,total_fur
13,마족,USER,ACTIVE,0,,2026-07-31 14:47:37,1,2
15,가마도,USER,ACTIVE,0,premium,2026-08-03 11:43:36,1,1
145,슬랜더조아,USER,ACTIVE,0,,2026-07-31 15:06:15,1,2
161,수아대디,USER,ACTIVE,0,pickup,2026-08-01 07:56:21,1,1
164,콘드로이친,USER,ACTIVE,0,,2026-07-31 14:21:36,1,2
193,겜비만본다,USER,ACTIVE,0,pickup,2026-08-03 06:15:16,1,1
208,호찌,USER,ACTIVE,0,pickup,2026-07-31 14:30:24,1,1
235,백갑숙형2,USER,ACTIVE,0,premium,2026-07-31 12:36:06,1,1
242,프로방스나잇,USER,ACTIVE,0,,2026-07-31 14:28:52,1,2
277,스갤가축,USER,ACTIVE,0,,2026-08-01 13:52:32,1,2
300,상마마,USER,ACTIVE,0,pickup,2026-08-02 02:22:27,1,1
316,RUNEBIRUN,USER,ACTIVE,0,,2026-07-31 14:24:10,1,1
324,세비지요,USER,ACTIVE,0,,2026-08-01 09:26:42,1,1
325,타기도,USER,ACTIVE,0,premium,2026-07-31 16:32:00,1,1
328,사이비교주철구,USER,BANNED,0,,2026-08-01 07:08:03,1,1
425,Zeno,USER,ACTIVE,0,pickup,2026-07-31 14:32:07,1,1
481,zldeja,USER,ACTIVE,0,premium,2026-08-01 14:47:55,1,1
499,틀타판수호자,USER,ACTIVE,0,premium,2026-08-01 01:09:49,1,1
511,이상욱,USER,ACTIVE,0,premium,2026-07-31 17:10:13,1,1
619,PangEEE,USER,ACTIVE,0,premium,2026-07-31 14:18:27,1,1
734,더드미구,USER,ACTIVE,0,,2026-08-01 10:29:09,1,1
991,보헤미안족소디,USER,ACTIVE,0,premium,2026-08-01 07:05:09,1,1
1098,토또짱,USER,ACTIVE,0,premium,2026-08-01 09:41:37,1,1
1843,똥화수월,USER,ACTIVE,0,,2026-07-31 14:21:17,1,2
2383,주작작주주작,USER,ACTIVE,0,,2026-07-31 14:27:24,1,2
2479,족구바라기,USER,ACTIVE,0,pickup,2026-08-01 06:34:17,1,1
2634,발냄새구10,USER,ACTIVE,0,,2026-07-31 16:28:58,1,2
3736,Xxxcool1,USER,ACTIVE,0,,2026-07-31 17:23:37,1,2
3887,하와이,USER,ACTIVE,0,,2026-07-31 14:20:46,1,2
3946,신세계,USER,ACTIVE,0,,2026-08-01 08:40:21,1,2
4086,삼다수원샷,USER,ACTIVE,0,pickup,2026-08-01 07:15:23,1,1
4116,슈크림빵,USER,ACTIVE,0,premium,2026-08-02 15:02:24,1,1
4184,돌돌족짜미,USER,ACTIVE,0,premium,2026-08-02 10:04:02,1,1
4186,두닷,USER,ACTIVE,0,pickup,2026-07-31 23:48:02,1,1
4308,뽀시레기,USER,ACTIVE,0,pickup,2026-08-02 01:41:54,1,1
1249,오빠돈주세요,USER,ACTIVE,0,,2026-08-01 08:38:58,0,0
3858,또영이,USER,ACTIVE,0,,2026-07-31 14:34:51,0,0
